(Jul 12 2020 00:29:15,  871203 sec) CLogin()             Connection 3 established in 22 seconds.
(Jul 12 2020 00:30:01,  871248 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Jul 12 2020 00:30:01,  871249 sec) login()              Login failed.
(Jul 12 2020 00:30:31,  871278 sec) expect()             Attempt to read prompt string [login:] failed.
(Jul 12 2020 00:30:31,  871279 sec) login()              Login prompt not received.
(Jul 12 2020 00:30:55,  871303 sec) CLogin()             Connection 4 established in 122 seconds.
(Jul 12 2020 00:31:25,  871332 sec) expect()             Attempt to read prompt string [login:] failed.
(Jul 12 2020 00:31:25,  871333 sec) login()              Login prompt not received.
(Jul 12 2020 00:31:42,  871349 sec) login()              Login successful.
(Jul 12 2020 00:31:45,  871353 sec) CLogin()             Logged in to host.  [Login required 50 seconds]
(Jul 12 2020 00:32:02,  871370 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 12 2020 00:32:04,  871372 sec) Rx()                 Initiating transfer. [0x43]
(Jul 12 2020 00:32:16,  871383 sec) Rx()                 Re-initiating transfer. [0x43]
(Jul 12 2020 00:32:23,  871391 sec) RxStartByte()        Sync errors encountered: 661
(Jul 12 2020 00:32:25,  871393 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Jul 12 2020 00:32:30,  871397 sec) Rx()                 Truncated packet received - retrying.
(Jul 12 2020 00:32:41,  871408 sec) RxStartByte()        Sync errors encountered: 279
(Jul 12 2020 00:32:41,  871409 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:32:44,  871411 sec) RxStartByte()        Sync errors encountered: 616
(Jul 12 2020 00:32:47,  871414 sec) Rx()                 False EOT packet detected - ignoring.
(Jul 12 2020 00:33:03,  871430 sec) RxStartByte()        Sync errors encountered: 4
(Jul 12 2020 00:33:03,  871431 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:33:14,  871441 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:33:25,  871452 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:33:36,  871463 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:33:47,  871474 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:33:58,  871485 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:34:09,  871496 sec) Rx()                 Packet timeout - retrying.
(Jul 12 2020 00:34:09,  871497 sec) Rx()                 Attempt to read packet 2 failed.  Transfer aborted.
(Jul 12 2020 00:34:20,  871508 sec) RxConfig()           Download failed.
(Jul 12 2020 00:34:35,  871523 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 12 2020 00:34:38,  871525 sec) Rx()                 Initiating transfer. [0x43]
(Jul 12 2020 00:34:50,  871537 sec) RxStartByte()        Sync errors encountered: 1
(Jul 12 2020 00:34:50,  871538 sec) Rx()                 Re-initiating transfer. [0x43]
(Jul 12 2020 00:35:02,  871549 sec) RxStartByte()        Sync errors encountered: 1
(Jul 12 2020 00:35:02,  871550 sec) Rx()                 Re-initiating transfer. [0x43]
(Jul 12 2020 00:35:16,  871563 sec) RxStartByte()        Sync errors encountered: 1
(Jul 12 2020 00:35:16,  871564 sec) Rx()                 Re-initiating transfer. [0x43]
(Jul 12 2020 00:35:28,  871575 sec) RxStartByte()        Sync errors encountered: 1
(Jul 12 2020 00:35:28,  871576 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:35:28,  871576 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:35:43,  871590 sec) RxStartByte()        Sync errors encountered: 12
(Jul 12 2020 00:35:43,  871591 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:35:43,  871591 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:35:54,  871601 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:35:54,  871602 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:36:05,  871612 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:36:05,  871613 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:36:16,  871623 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:36:16,  871624 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:36:27,  871634 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:36:27,  871635 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:36:38,  871645 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:36:38,  871646 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:36:38,  871646 sec) Rx()                 Attempt to read packet 1 failed.  Transfer aborted.
(Jul 12 2020 00:36:49,  871657 sec) RxConfig()           Download failed.
