(Oct 14 2017 15:31:40,  849642 sec) WriteVitals()        Writing vitals to "9567.108.msg".
(Oct 14 2017 15:31:43,  849644 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:32:01,  849662 sec) CLogin()             Connection 11 established in 18 seconds.
(Oct 14 2017 15:32:31,  849692 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:32:31,  849692 sec) login()              Login prompt not received.
(Oct 14 2017 15:33:01,  849722 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:33:01,  849722 sec) login()              Login prompt not received.
(Oct 14 2017 15:33:01,  849722 sec) login()              No carrier detected.
(Oct 14 2017 15:33:01,  849722 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 15:33:01,  849723 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:33:16,  849738 sec) CLogin()             Connection 12 established in 15 seconds.
(Oct 14 2017 15:33:47,  849768 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:33:47,  849768 sec) login()              Login prompt not received.
(Oct 14 2017 15:34:17,  849798 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:34:17,  849798 sec) login()              Login prompt not received.
(Oct 14 2017 15:34:17,  849798 sec) login()              No carrier detected.
(Oct 14 2017 15:34:17,  849798 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 15:34:17,  849798 sec) UpLoad()             Files successfully uploaded: 0
(Oct 14 2017 15:34:17,  849798 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Oct 14 2017 15:34:17,  849799 sec) logout()             No carrier detected.
(Oct 14 2017 15:34:17,  849799 sec) Telemetry()          Telemetry cycle complete: PrfId=108 ConnectionAttempts=12  Connections=12
(Oct 14 2017 15:49:32,  850713 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [127cnt, 6.8"Hg].
(Oct 14 2017 15:50:01,  850742 sec) GpsServices()        GPS almanac is current.
(Oct 14 2017 15:50:01,  850742 sec) GpsServices()        Initiating GPS fix acquisition.
(Oct 14 2017 15:50:31,  850772 sec) gga()                $GPGGA,154940,1210.7028,N,08709.3338,E,1,10,0.9,-9.7,M,-75.7,M,,*4E
(Oct 14 2017 15:50:31,  850772 sec) GpsServices()        Profile 108 GPS fix obtained in 30 seconds.
(Oct 14 2017 15:50:31,  850772 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Oct 14 2017 15:50:31,  850773 sec) GpsServices()        Fix:   87.156  12.178 10/14/2017 154940   10
(Oct 14 2017 15:51:00,  850801 sec) gga()                $GPGGA,155010,1210.6925,N,08709.3437,E,1,10,0.9,-7.6,M,-75.7,M,,*41
(Oct 14 2017 15:51:06,  850807 sec) gga()                $GPGGA,155040,1210.6835,N,08709.3549,E,1,12,0.9,-1.1,M,-75.7,M,,*4F
(Oct 14 2017 15:51:06,  850807 sec) GpsServices()        APF9 RTC skew (26s) OK.
(Oct 14 2017 15:51:06,  850808 sec) LogNmeaSentences()   4,31,093,44,16,84,037,46,22,62,263,47,23,18,326,39*7E
(Oct 14 2017 15:51:06,  850808 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,52,031,48,27,31,147,43,31,17,040,43,32,20,109,43*7E
(Oct 14 2017 15:51:16,  850817 sec) LogNmeaSentences()   $GPRMC,155050,A,1210.6803,N,08709.3588,E,001.3,149.3,141017,001.4,W*65
(Oct 14 2017 15:51:16,  850817 sec) LogNmeaSentences()   $GPGGA,155050,1210.6803,N,08709.3588,E,1,12,0.9,-2.5,M,-75.7,M,,*41
