(May 22 2022 22:35:39,  857529 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(May 22 2022 22:35:39,  857529 sec) logout()             No carrier detected.
(May 22 2022 22:35:40,  857529 sec) Telemetry()          Telemetry cycle complete: PrfId=244 ConnectionAttempts=27  Connections=6
(May 22 2022 22:50:55,  858445 sec) AirSystem()          Battery [142cnt, 11.0V]  Current [70cnt, 282.1mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [3s]
(May 22 2022 22:51:41,  858490 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.5dbars / 221.7uM 29.271C 29.142 8.968 -24.987 / 59,155,532
(May 22 2022 22:51:49,  858499 sec) GpsServices()        GPS almanac is current.
(May 22 2022 22:51:49,  858499 sec) GpsServices()        Initiating GPS fix acquisition.
(May 22 2022 22:52:05,  858515 sec) gga()                $GPGGA,225140,1947.5104,N,06042.9640,E,0,00,,,M,,M,,*5D
(May 22 2022 22:52:48,  858557 sec) gga()                $GPGGA,225150,1947.5695,N,06043.2591,E,6,06,1.2,5.1,M,-47.5,M,,*64
(May 22 2022 22:53:31,  858600 sec) gga()                $GPGGA,225200,1947.5704,N,06043.2604,E,6,06,1.2,5.7,M,-47.5,M,,*62
(May 22 2022 22:54:55,  858685 sec) gga()                $GPGGA,225400,1947.5754,N,06043.2840,E,1,07,1.1,-1.7,M,-47.5,M,,*43
(May 22 2022 22:54:56,  858685 sec) GpsServices()        Profile 244 GPS fix obtained in 187 seconds.
(May 22 2022 22:54:56,  858686 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(May 22 2022 22:54:56,  858686 sec) GpsServices()        Fix:   60.721  19.793 05/22/2022 225400    7
(May 22 2022 22:55:45,  858735 sec) gga()                $GPGGA,225450,1947.5776,N,06043.2951,E,1,07,1.1,0.5,M,-47.5,M,,*69
(May 22 2022 22:55:53,  858743 sec) gga()                $GPGGA,225540,1947.5795,N,06043.3041,E,1,07,1.1,2.4,M,-47.5,M,,*6E
(May 22 2022 22:55:53,  858743 sec) GpsServices()        APF9 RTC skew (13s) OK.
(May 22 2022 22:56:03,  858752 sec) LogNmeaSentences()   $GPRMC,225550,A,1947.5797,N,06043.3045,E,001.3,005.7,220522,000.4,E*76
(May 22 2022 22:56:04,  858753 sec) LogNmeaSentences()   $GPGGA,225550,1947.5797,N,06043.3045,E,1,07,1.1,2.5,M,-47.5,M,,*68
(May 22 2022 22:56:04,  858754 sec) LogNmeaSentences()   $GPGSA,A,3,03,04,,07,08,09,16,27,,,,,1.4,1.1,0.9*3D
